Date,Clicks,Impressions,CTR,Position
2025-12-19,0,347,0%,54.8
2025-12-20,0,217,0%,59.5
2025-12-21,0,243,0%,62.8
2025-12-22,0,269,0%,57.7
2025-12-23,0,285,0%,60.5
2025-12-24,1,289,0.35%,60.2
2025-12-25,0,278,0%,62.2
2025-12-26,0,344,0%,53.9
2025-12-27,0,251,0%,61.9
2025-12-28,1,273,0.37%,59.3
2025-12-29,2,444,0.45%,58.2
2025-12-30,1,358,0.28%,58.7
2025-12-31,0,267,0%,55.4
2026-01-01,1,363,0.28%,57.5
2026-01-02,2,380,0.53%,57.2
2026-01-03,0,289,0%,62.4
2026-01-04,0,343,0%,60.9
2026-01-05,0,496,0%,58
2026-01-06,1,440,0.23%,56.9
2026-01-07,1,445,0.22%,60.7
2026-01-08,1,491,0.2%,59.9
2026-01-09,0,542,0%,53.2
2026-01-10,1,455,0.22%,55.7
2026-01-11,2,472,0.42%,56.2
2026-01-12,0,800,0%,51
2026-01-13,2,876,0.23%,52.7
2026-01-14,0,647,0%,54.5
2026-01-15,2,519,0.39%,53
2026-01-16,0,816,0%,51.9
2026-01-17,0,493,0%,54.5
2026-01-18,2,505,0.4%,53.1
2026-01-19,2,793,0.25%,51.8
2026-01-20,0,741,0%,53.7
2026-01-21,0,510,0%,55.7
2026-01-22,0,608,0%,54
2026-01-23,0,553,0%,49.8
2026-01-24,1,430,0.23%,57.7
2026-01-25,0,458,0%,60.5
2026-01-26,1,516,0.19%,59.6
2026-01-27,2,610,0.33%,55.2
2026-01-28,2,452,0.44%,58.3
2026-01-29,0,246,0%,50.5
2026-01-30,0,647,0%,55.5
2026-01-31,0,366,0%,56
2026-02-01,1,532,0.19%,55.3
2026-02-02,1,846,0.12%,51.6
2026-02-03,3,694,0.43%,50.3
2026-02-04,0,454,0%,51.8
2026-02-05,0,530,0%,49.7
2026-02-06,0,462,0%,51
2026-02-07,0,386,0%,53.7
2026-02-08,2,395,0.51%,53.3
2026-02-09,2,438,0.46%,47.4
2026-02-10,2,489,0.41%,44
2026-02-11,1,515,0.19%,45.7
2026-02-12,0,472,0%,45.1
2026-02-13,0,614,0%,43.8
2026-02-14,0,433,0%,46.3
2026-02-15,0,680,0%,42.9
2026-02-16,1,734,0.14%,41
2026-02-17,0,506,0%,48.1
2026-02-18,1,416,0.24%,43.5
2026-02-19,2,452,0.44%,49.6
2026-02-20,1,550,0.18%,50.8
2026-02-21,0,381,0%,52.6
2026-02-22,0,597,0%,52.6
2026-02-23,2,578,0.35%,51.4
2026-02-24,1,432,0.23%,48.1
2026-02-25,3,532,0.56%,51
2026-02-26,0,441,0%,45.2
2026-02-27,0,526,0%,48.4
2026-02-28,0,379,0%,51.1
2026-03-01,1,751,0.13%,50.9
2026-03-02,3,910,0.33%,47.5
2026-03-03,0,990,0%,46.7
2026-03-04,1,999,0.1%,47.6
2026-03-05,2,1086,0.18%,43.2
2026-03-06,0,1266,0%,42.6
2026-03-07,2,1000,0.2%,44
2026-03-08,0,1025,0%,43.5
2026-03-09,1,1388,0.07%,43.2
2026-03-10,0,1519,0%,44.5
2026-03-11,1,1429,0.07%,41.6
2026-03-12,1,1953,0.05%,42.5
2026-03-13,1,1010,0.1%,40.5
2026-03-14,1,867,0.12%,44.6
2026-03-15,4,1001,0.4%,40.6
2026-03-16,0,1589,0%,43.1
2026-03-17,1,1473,0.07%,40.5
2026-03-18,2,1484,0.13%,43.8